

年歲對照表
西元 	民國 	日治時代 	農曆歲次 	        	生肖
西元 1868 年 	民國 前44年 	明治 1 年 	戊辰 	  	龍
西元 1869 年 	民國 前43年 	明治 2 年 	己巳 	  	蛇
西元 1870 年 	民國 前42年 	明治 3 年 	庚午 	  	馬
西元 1871 年 	民國 前41年 	明治 4 年 	辛未 	  	羊
西元 1872 年 	民國 前40年 	明治 5 年 	壬申 	  	猴
西元 1873 年 	民國 前39年 	明治 6 年 	癸酉 	  	雞
西元 1874 年 	民國 前38年 	明治 7 年 	甲戌 	  	狗
西元 1875 年 	民國 前37年 	明治 8 年 	乙亥 	  	豬
西元 1876 年 	民國 前36年 	明治 9 年 	丙子 	  	鼠
西元 1877 年 	民國 前35年 	明治 10 年 	丁丑 	  	牛
西元 1878 年 	民國 前34年 	明治 11 年 	戊寅 	  	虎
西元 1879 年 	民國 前33年 	明治 12 年 	己卯 	  	兔
西元 1880 年 	民國 前32年 	明治 13 年 	庚辰 	  	龍
西元 1881 年 	民國 前31年 	明治 14 年 	辛巳 	  	蛇
西元 1882 年 	民國 前30年 	明治 15 年 	壬午 	  	馬
西元 1883 年 	民國 前29年 	明治 16 年 	癸未 	  	羊
西元 1884 年 	民國 前28年 	明治 17 年 	甲申 	  	猴
西元 1885 年 	民國 前27年 	明治 18 年 	乙酉 	  	雞
西元 1886 年 	民國 前26年 	明治 19 年 	丙戌 	  	狗
西元 1887 年 	民國 前25年 	明治 20 年 	丁亥 	  	豬
西元 1888 年 	民國 前24年 	明治 21 年 	戊子 	  	鼠
西元 1889 年 	民國 前23年 	明治 22 年 	己丑 	  	牛
西元 1890 年 	民國 前22年 	明治 23 年 	庚寅 	  	虎
西元 1891 年 	民國 前21年 	明治 24 年 	辛卯 	  	兔
西元 1892 年 	民國 前20年 	明治 25 年 	壬辰 	  	龍
西元 1893 年 	民國 前19年 	明治 26 年 	癸巳 	  	蛇
西元 1894 年 	民國 前18年 	明治 27 年 	甲午 	  	馬
西元 1895 年 	民國 前17年 	明治 28 年 	乙未 	  	羊
西元 1896 年 	民國 前16年 	明治 29 年 	丙申 	  	猴
西元 1897 年 	民國 前15年 	明治 30 年 	丁酉 	  	雞
西元 1898 年 	民國 前14年 	明治 31 年 	戊戌 	  	狗
西元 1899 年 	民國 前13年 	明治 32 年 	己亥 	  	豬
西元 1900 年 	民國 前12年 	明治 33 年 	庚子 	  	鼠
西元 1901 年 	民國 前11年 	明治 34 年 	辛丑 	  	牛
西元 1902 年 	民國 前10年 	明治 35 年 	壬寅 	  	虎
西元 1903 年 	民國 前9年 	明治 36 年 	癸卯 	  	兔
西元 1904 年 	民國 前8年 	明治 37 年 	甲辰 	  	龍
西元 1905 年 	民國 前7年 	明治 38 年 	乙巳 	  	蛇
西元 1906 年 	民國 前6年 	明治 39 年 	丙午 	  	馬
西元 1907 年 	民國 前5年 	明治 40 年 	丁未 	  	羊
西元 1908 年 	民國 前4年 	明治 41 年 	戊申 	  	猴
西元 1909 年 	民國 前3年 	明治 42 年 	己酉 	  	雞
西元 1910 年 	民國 前2年 	明治 43 年 	庚戌 	  	狗
西元 1911 年 	民國 前1年 	明治 44 年 	辛亥 	  	豬
西元 1912 年 	民國 1年 	大正 1 年 	壬子 	  	鼠
西元 1913 年 	民國 2年 	大正 2 年 	癸丑 	  	牛
西元 1914 年 	民國 3年 	大正 3 年 	甲寅 	  	虎
西元 1915 年 	民國 4年 	大正 4 年 	乙卯 	  	兔
西元 1916 年 	民國 5年 	大正 5 年 	丙辰 	  	龍
西元 1917 年 	民國 6年 	大正 6 年 	丁巳 	  	蛇
西元 1918 年 	民國 7年 	大正 7 年 	戊午 	  	馬
西元 1919 年 	民國 8年 	大正 8 年 	己未 	  	羊
西元 1920 年 	民國 9年 	大正 9 年 	庚申 	  	猴
西元 1921 年 	民國 10年 	大正 10 年 	辛酉 	  	雞
